Date,Cases,Death,Anxieity disorder,Depressive disorder
1/20/2020,1,1,,
1/21/2020,1,0,,
1/22/2020,1,0,,
1/23/2020,1,0,,
1/24/2020,1,0,,
1/25/2020,6,5,,
1/26/2020,7,1,,
1/27/2020,7,0,,
1/28/2020,8,1,,
1/29/2020,8,0,,
1/30/2020,8,0,,
1/31/2020,8,0,,
2/1/2020,8,0,,
2/2/2020,9,1,,
2/3/2020,10,1,,
2/4/2020,13,3,,
2/5/2020,17,4,,
2/6/2020,19,2,,
2/7/2020,19,0,,
2/8/2020,19,0,,
2/9/2020,20,1,,
2/10/2020,20,0,,
2/11/2020,20,0,,
2/12/2020,20,0,,
2/13/2020,20,0,,
2/14/2020,22,2,,
2/15/2020,23,1,,
2/16/2020,24,1,,
2/17/2020,24,0,,
2/18/2020,24,0,,
2/19/2020,26,2,,
2/20/2020,31,5,,
2/21/2020,34,3,,
2/22/2020,35,1,,
2/23/2020,40,5,,
2/24/2020,48,8,,
2/25/2020,48,0,,
2/26/2020,52,4,,
2/27/2020,56,4,,
2/28/2020,64,8,,
2/29/2020,69,5,,
3/1/2020,73,4,,
3/2/2020,82,9,,
3/3/2020,100,18,,
3/4/2020,135,35,,
3/5/2020,186,51,,
3/6/2020,256,70,,
3/7/2020,334,78,,
3/8/2020,464,130,,
3/9/2020,610,146,,
3/10/2020,822,212,,
3/11/2020,1212,390,,
3/12/2020,1709,497,,
3/13/2020,2234,525,,
3/14/2020,2961,727,,
3/15/2020,3929,968,,
3/16/2020,5148,1219,,
3/17/2020,7283,2135,,
3/18/2020,9652,2369,,
3/19/2020,12881,3229,,
3/20/2020,17743,4862,,
3/21/2020,23856,6113,,
3/22/2020,31415,7559,,
3/23/2020,40525,9110,,
3/24/2020,51290,10765,,
3/25/2020,62044,10754,,
3/26/2020,73376,11332,,
3/27/2020,87491,14115,,
3/28/2020,105965,18474,,
3/29/2020,126309,20344,,
3/30/2020,146982,20673,,
3/31/2020,173143,26161,,
4/1/2020,188679,15536,,
4/2/2020,211939,23260,,
4/3/2020,240613,28674,,
4/4/2020,270403,29790,,
4/5/2020,302460,32057,,
4/6/2020,334594,32134,,
4/7/2020,361578,26984,,
4/8/2020,390207,28629,,
4/9/2020,419562,29355,,
4/10/2020,453710,34148,,
4/11/2020,488453,34743,,
4/12/2020,521632,33179,,
4/13/2020,553167,31535,,
4/14/2020,580261,27094,,
4/15/2020,605505,25244,,
4/16/2020,630764,25259,,
4/17/2020,655972,25208,,
4/18/2020,687466,31494,,
4/19/2020,717782,30316,,
4/20/2020,746063,28281,,
4/21/2020,772133,26070,,
4/22/2020,798561,26428,,
4/23/2020,824488,25927,30%,24%
4/24/2020,854958,30470,,
4/25/2020,888169,33211,,
4/26/2020,922947,34778,,
4/27/2020,956550,33603,,
4/28/2020,982613,26063,,
4/29/2020,1006371,23758,,
4/30/2020,1030306,23935,,
5/1/2020,1057080,26774,,
5/2/2020,1088301,31221,,
5/3/2020,1121383,33082,,
5/4/2020,1149675,28292,,
5/5/2020,1175602,25927,,
5/6/2020,1197926,22324,,
5/7/2020,1220804,22878,30%,24%
5/8/2020,1246244,25440,,
5/9/2020,1274796,28552,,
5/10/2020,1303629,28833,,
5/11/2020,1329546,25917,,
5/12/2020,1350202,20656,,
5/13/2020,1370152,19950,,
5/14/2020,1394054,23902,28%,24%
5/15/2020,1411390,17336,,
5/16/2020,1446033,34643,,
5/17/2020,1472661,26628,,
5/18/2020,1498742,26081,,
5/19/2020,1518659,19917,,
5/20/2020,1541403,22744,,
5/21/2020,1563326,21923,29%,25%
5/22/2020,1586832,23506,,
5/23/2020,1613023,26191,,
5/24/2020,1638986,25963,,
5/25/2020,1660451,21465,,
5/26/2020,1681102,20651,,
5/27/2020,1700481,19379,,
5/28/2020,1717991,17510,31%,25%
5/29/2020,1737499,19508,,
5/30/2020,1761681,24182,,
5/31/2020,1785422,23741,,
6/1/2020,1809549,24127,,
6/2/2020,1831015,21466,,
6/3/2020,1848172,17157,,
6/4/2020,1869146,20974,31%,26%
6/5/2020,1889841,20695,,
6/6/2020,1910711,20870,,
6/7/2020,1935202,24491,,
6/8/2020,1958487,23285,,
6/9/2020,1976942,18455,,
6/10/2020,1995093,18151,,
6/11/2020,2013674,18581,32%,25%
6/12/2020,2035855,22181,,
6/13/2020,2058745,22890,,
6/14/2020,2087078,28333,,
6/15/2020,2113512,26434,,
6/16/2020,2134290,20778,,
6/17/2020,2154881,20591,,
6/18/2020,2179658,24777,31%,26%
6/19/2020,2205474,25816,,
6/20/2020,2233994,28520,,
6/21/2020,2267099,33105,,
6/22/2020,2300566,33467,,
6/23/2020,2327911,27345,,
6/24/2020,2356609,28698,,
6/25/2020,2394496,37887,33%,27%
6/26/2020,2431816,37320,,
6/27/2020,2478837,47021,,
6/28/2020,2525377,46540,,
6/29/2020,2569030,43653,,
6/30/2020,2606613,37583,,
7/1/2020,2645130,38517,,
7/2/2020,2692383,47253,34%,28%
7/3/2020,2751725,59342,,
7/4/2020,2807177,55452,,
7/5/2020,2867543,60366,,
7/6/2020,2916521,48978,,
7/7/2020,2956934,40413,,
7/8/2020,3007697,50763,,
7/9/2020,3064451,56754,36%,28%
7/10/2020,3129226,64775,,
7/11/2020,3191169,61943,,
7/12/2020,3259748,68579,,
7/13/2020,3328010,68262,,
7/14/2020,3386690,58680,,
7/15/2020,3442977,56287,,
7/16/2020,3507493,64516,36%,30%
7/17/2020,3579882,72389,,
7/18/2020,3649063,69181,,
7/19/2020,3726015,76952,,
7/20/2020,3793339,67324,,
7/21/2020,3853351,60012,,
7/22/2020,3911870,58519,,
7/23/2020,3975206,63336,,
7/24/2020,4047622,72416,,
7/25/2020,4120764,73142,,
7/26/2020,4193916,73152,,
7/27/2020,4255512,61596,,
7/28/2020,4313271,57759,,
7/29/2020,4367278,54007,,
7/30/2020,4425986,58708,,
7/31/2020,4490841,64855,,
8/1/2020,4556982,66141,,
8/2/2020,4625166,68184,,
8/3/2020,4681578,56412,,
8/4/2020,4732427,50849,,
8/5/2020,4777756,45329,,
8/6/2020,4829812,52056,,
8/7/2020,4885404,55592,,
8/8/2020,4938569,53165,,
8/9/2020,5001075,62506,,
8/10/2020,5052754,51679,,
8/11/2020,5099227,46473,,
8/12/2020,5142604,43377,,
8/13/2020,5201562,58958,,
8/14/2020,5255954,54392,,
8/15/2020,5307476,51522,,
8/16/2020,5363737,56261,,
8/17/2020,5414874,51137,,
8/18/2020,5456369,41495,,
8/19/2020,5497958,41589,31%,25%
8/20/2020,5539583,41625,,
8/21/2020,5586157,46574,,
8/22/2020,5632344,46187,,
8/23/2020,5679525,47181,,
8/24/2020,5722075,42550,,
8/25/2020,5758285,36210,,
8/26/2020,5794001,35716,,
8/27/2020,5834575,40574,,
8/28/2020,5881005,46430,,
8/29/2020,5927925,46920,,
8/30/2020,5974471,46546,,
8/31/2020,6015379,40908,,
9/1/2020,6052014,36635,,
9/2/2020,6090710,38696,32%,24%
9/3/2020,6129888,39178,,
9/4/2020,6173535,43647,,
9/5/2020,6218807,45272,,
9/6/2020,6269724,50917,,
9/7/2020,6310853,41129,,
9/8/2020,6345090,34237,,
9/9/2020,6369966,24876,,
9/10/2020,6398020,28054,,
9/11/2020,6432680,34660,,
9/12/2020,6471263,38583,,
9/13/2020,6515345,44082,,
9/14/2020,6555716,40371,,
9/15/2020,6588604,32888,,
9/16/2020,6622940,34336,33%,25%
9/17/2020,6659755,36815,,
9/18/2020,6703665,43910,,
9/19/2020,6748195,44530,,
9/20/2020,6796322,48127,,
9/21/2020,6838503,42181,,
9/22/2020,6872953,34450,,
9/23/2020,6914351,41398,,
9/24/2020,6963879,49528,,
9/25/2020,7005520,41641,,
9/26/2020,7051481,45961,,
9/27/2020,7101096,49615,,
9/28/2020,7143131,42035,,
9/29/2020,7178682,35551,,
9/30/2020,7217084,38402,32%,25%
10/1/2020,7255965,38881,,
10/2/2020,7301885,45920,,
10/3/2020,7348509,46624,,
10/4/2020,7399444,50935,,
10/5/2020,7447171,47727,,
10/6/2020,7482945,35774,,
10/7/2020,7524547,41602,,
10/8/2020,7566201,41654,,
10/9/2020,7618795,52594,,
10/10/2020,7674899,56104,,
10/11/2020,7733693,58794,,
10/12/2020,7787909,54216,,
10/13/2020,7832332,44423,,
10/14/2020,7881476,49144,33%,26%
10/15/2020,7931973,50497,,
10/16/2020,7989202,57229,,
10/17/2020,8052248,63046,,
10/18/2020,8121327,69079,,
10/19/2020,8175875,54548,,
10/20/2020,8224762,48887,,
10/21/2020,8286124,61362,,
10/22/2020,8344865,58741,,
10/23/2020,8413522,68657,,
10/24/2020,8488425,74903,,
10/25/2020,8570765,82340,,
10/26/2020,8646946,76181,,
10/27/2020,8712556,65610,,
10/28/2020,8782140,69584,36%,28%
10/29/2020,8857101,74961,,
10/30/2020,8941511,84410,,
10/31/2020,9032641,91130,,
11/1/2020,9130159,97518,,
11/2/2020,9222942,92783,,
11/3/2020,9364524,141582,,
11/4/2020,9451712,87188,,
11/5/2020,9550211,98499,,
11/6/2020,9664086,113875,,
11/7/2020,9786916,122830,,
11/8/2020,9920253,133337,,
11/9/2020,10050063,129810,,
11/10/2020,10161711,111648,,
11/11/2020,10286198,124487,37%,29%
11/12/2020,10432149,145951,,
11/13/2020,10585809,153660,,
11/14/2020,10748109,162300,,
11/15/2020,10925098,176989,,
11/16/2020,11089337,164239,,
11/17/2020,11226901,137564,,
11/18/2020,11380275,153374,,
11/19/2020,11547627,167352,,
11/20/2020,11718531,170904,,
11/21/2020,11907212,188681,,
11/22/2020,12100581,193369,,
11/23/2020,12274442,173861,,
11/24/2020,12424225,149783,,
11/25/2020,12584636,160411,36%,29%
11/26/2020,12759819,175183,,
11/27/2020,12953919,194100,,
11/28/2020,13098948,145029,,
11/29/2020,13262982,164034,,
11/30/2020,13407557,144575,,
12/1/2020,13548629,141072,,
12/2/2020,13700534,151905,,
12/3/2020,13893252,192718,,
12/4/2020,14103326,210074,,
12/5/2020,14320108,216782,,
12/6/2020,14543914,223806,,
12/7/2020,14749489,205575,,
12/8/2020,14926398,176909,,
12/9/2020,15109489,183091,37%,30%
12/10/2020,15336471,226982,,
12/11/2020,15557722,221251,,
12/12/2020,15766557,208835,,
12/13/2020,16012396,245839,,
12/14/2020,16229549,217153,,
12/15/2020,16410824,181275,,
12/16/2020,16609028,198204,,
12/17/2020,16807678,198650,,
12/18/2020,17047944,240266,,
12/19/2020,17294449,246505,,
12/20/2020,17530324,235875,,
12/21/2020,17732613,202289,,
12/22/2020,17919042,186429,,
12/23/2020,18102595,183553,,
12/24/2020,18300354,197759,,
12/25/2020,18526554,226200,,
12/26/2020,18729104,202550,,
12/27/2020,18890446,161342,,
12/28/2020,19037565,147119,,
12/29/2020,19191907,154342,,
12/30/2020,19368681,176774,,
12/31/2020,19577585,208904,,
1/1/2021,19813403,235818,,
1/2/2021,20042895,229492,,
1/3/2021,20271441,228546,,
1/4/2021,20496759,225318,,
1/5/2021,20702217,205458,,
1/6/2021,20876531,174314,36%,28%
1/7/2021,21118972,242441,,
1/8/2021,21376722,257750,,
1/9/2021,21646487,269765,,
1/10/2021,21938592,292105,,
1/11/2021,22194886,256294,,
1/12/2021,22419370,224484,,
1/13/2021,22623492,204122,,
1/14/2021,22841268,217776,,
1/15/2021,23067646,226378,,
1/16/2021,23291229,223583,,
1/17/2021,23528547,237318,,
1/18/2021,23738058,209511,,
1/19/2021,23924641,186583,,
1/20/2021,24078846,154205,36%,28%
1/21/2021,24229079,150233,,
1/22/2021,24417345,188266,,
1/23/2021,24604989,187644,,
1/24/2021,24794408,189419,,
1/25/2021,24959920,165512,,
1/26/2021,25101474,141554,,
1/27/2021,25237065,135591,,
1/28/2021,25383008,145943,,
1/29/2021,25541973,158965,,
1/30/2021,25698795,156822,,
1/31/2021,25863033,164238,,
2/1/2021,26001856,138823,,
2/2/2021,26113794,111938,,
2/3/2021,26242837,129043,34%,28%
2/4/2021,26364167,121330,,
2/5/2021,26472836,108669,,
2/6/2021,26595456,122620,,
2/7/2021,26720283,124827,,
2/8/2021,26830463,110180,,
2/9/2021,26923394,92931,,
2/10/2021,27004120,80726,,
2/11/2021,27095537,91417,,
2/12/2021,27193876,98339,,
2/13/2021,27293424,99548,,
2/14/2021,27390855,97431,,
2/15/2021,27476076,85221,,
2/16/2021,27543489,67413,,
2/17/2021,27601555,58066,33%,28%
2/18/2021,27658426,56871,,
2/19/2021,27722196,63770,,
2/20/2021,27790764,68568,,
2/21/2021,27864340,73576,,
2/22/2021,27929850,65510,,
2/23/2021,27986478,56628,,
2/24/2021,28042299,55821,,
2/25/2021,28112461,70162,,
2/26/2021,28184819,72358,,
2/27/2021,28256817,71998,,
2/28/2021,28330091,73274,,
3/1/2021,28398389,68298,,
3/2/2021,28450959,52570,,
3/3/2021,28502073,51114,31%,26%
3/4/2021,28555834,53761,,
3/5/2021,28621877,66043,,
3/6/2021,28686736,64859,,
3/7/2021,28750830,64094,,
3/8/2021,28808540,57710,,
3/9/2021,28852298,43758,,
3/10/2021,28895001,42703,,
3/11/2021,28949089,54088,,
3/12/2021,29010844,61755,,
3/13/2021,29070608,59764,,
3/14/2021,29134830,64222,,
3/15/2021,29187104,52274,,
3/16/2021,29234334,47230,,
3/17/2021,29277866,43532,30%,25%
3/18/2021,29329672,51806,,
3/19/2021,29389260,59588,,
3/20/2021,29452359,63099,,
3/21/2021,29514381,62022,,
3/22/2021,29572837,58456,,
3/23/2021,29618065,45228,,
3/24/2021,29666293,48228,,
3/25/2021,29723977,57684,,
3/26/2021,29791998,68021,,
3/27/2021,29857365,65367,,
3/28/2021,29932199,74834,,
3/29/2021,29995402,63203,,
3/30/2021,30048658,53256,,
3/31/2021,30106672,58014,,
4/1/2021,30168461,61789,,
4/2/2021,30238028,69567,,
4/3/2021,30311713,73685,,
4/4/2021,30382159,70446,,
4/5/2021,30445854,63695,,
4/6/2021,30491576,45722,,
4/7/2021,30547976,56400,,
4/8/2021,30611633,63657,,
4/9/2021,30686260,74627,,
4/10/2021,30761694,75434,,
4/11/2021,30838109,76415,,
4/12/2021,30906220,68111,,
4/13/2021,30959459,53239,,
4/14/2021,31019894,60435,27%,23%
4/15/2021,31092100,72206,,
4/16/2021,31162754,70654,,
4/17/2021,31234252,71498,,
4/18/2021,31305326,71074,,
4/19/2021,31382538,77212,,
4/20/2021,31431875,49337,,
4/21/2021,31467156,35281,,
4/22/2021,31524474,57318,,
4/23/2021,31587523,63049,,
4/24/2021,31649002,61479,,
4/25/2021,31711421,62419,,
4/26/2021,31763119,51698,,
4/27/2021,31803966,40847,,
4/28/2021,31834165,30199,27%,22%
4/29/2021,31884478,50313,,
4/30/2021,31938874,54396,,
5/1/2021,31994517,55643,,
5/2/2021,32049828,55311,,
5/3/2021,32098180,48352,,
5/4/2021,32134773,36593,,
5/5/2021,32167726,32953,,
5/6/2021,32210278,42552,,
5/7/2021,32254819,44541,,
5/8/2021,32297511,42692,,
5/9/2021,32342152,44641,,
5/10/2021,32379173,37021,,
5/11/2021,32406711,27538,,
5/12/2021,32431094,24383,26%,22%
5/13/2021,32464167,33073,,
5/14/2021,32499951,35784,,
5/15/2021,32540386,40435,,
5/16/2021,32575502,35116,,
5/17/2021,32605339,29837,,
5/18/2021,32626714,21375,,
5/19/2021,32646167,19453,,
5/20/2021,32673806,27639,,
5/21/2021,32701297,27491,,
5/22/2021,32729245,27948,,
5/23/2021,32757111,27866,,
5/24/2021,32779335,22224,,
5/25/2021,32795365,16030,,
5/26/2021,32810126,14761,25%,21%
5/27/2021,32834697,24571,,
5/28/2021,32858172,23475,,
5/29/2021,32880142,21970,,
5/30/2021,32904922,24780,,
5/31/2021,32920550,15628,,
6/1/2021,32932900,12350,,
6/2/2021,32942308,9408,,
6/3/2021,32951243,8935,,
6/4/2021,32967291,16048,,
6/5/2021,32985442,18151,,
6/6/2021,33004034,18592,,
6/7/2021,33018768,14734,,
6/8/2021,33029852,11084,,
6/9/2021,33039750,9898,26%,22%
6/10/2021,33054064,14314,,
6/11/2021,33073704,19640,,
6/12/2021,33089628,15924,,
6/13/2021,33103599,13971,,
6/14/2021,33115949,12350,,
6/15/2021,33124670,8721,,
6/16/2021,33132945,8275,,
6/17/2021,33145561,12616,,
6/18/2021,33158781,13220,,
6/19/2021,33172265,13484,,
6/20/2021,33184226,11961,,
6/21/2021,33196576,12350,,
6/22/2021,33205623,9047,,
6/23/2021,33214191,8568,25%,21%
6/24/2021,33227479,13288,,
6/25/2021,33241320,13841,,
6/26/2021,33256892,15572,,
6/27/2021,33271863,14971,,
6/28/2021,33285157,13294,,
6/29/2021,33295833,10676,,
6/30/2021,33306271,10438,,
7/1/2021,33321785,15514,,
7/2/2021,33333424,11639,,
7/3/2021,33352010,18586,,
7/4/2021,33368900,16890,,
7/5/2021,33382089,13189,,
7/6/2021,33392548,10459,,
7/7/2021,33401695,9147,,
7/8/2021,33421657,19962,,
7/9/2021,33444293,22636,,
7/10/2021,33627831,183538,,
7/11/2021,33655410,27579,,
7/12/2021,33676285,20875,,
7/13/2021,33693007,16722,,
7/14/2021,33721899,28892,,
7/15/2021,33756877,34978,,
7/16/2021,33795176,38299,,
7/17/2021,33835731,40555,,
7/18/2021,33877989,42258,,
7/19/2021,33910128,32139,,
7/20/2021,33938121,27993,,
7/21/2021,33983316,45195,27%,22%
7/22/2021,34034356,51040,,
7/23/2021,34095669,61313,,
